# 1;0;0;0;1124;6719;2499;446,8275246;;;;;
;32;256;512;6721;11017;2499;581,9366853;;;;;
;;;;;;;;;;;;
# 2;32;256;512;1116;6120;2499;499,6003197;;;;;
;0;0;0;6123;10645;2499;552,85272;;;;;
;;;;;;;;;;;;
# 3;1;1;1;1078;6614;2499;451,5895954;;;Traditional;;
;32;256;512;6616;10650;2499;619,7322757;;;Mesh;;
;0;0;0;10652;15219;2499;547,4052989;;;Both;;
;;;;;;;;;;;;
# 4;1;1;1;1084;6604;2499;452,8985507;;;;;
;0;0;0;6606;11050;2499;562,5562556;;;;;
;32;256;512;11052;15230;2499;598,372427;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;Sorted;;;;;;;;;;;
# 3;32;256;512;6616;10650;2499;619,7322757;;;;;
# 4;32;256;512;11052;15230;2499;598,372427;;;;;
# 1;32;256;512;6721;11017;2499;581,9366853;;;;;
# 4;0;0;0;6606;11050;2499;562,5562556;;;;;
# 2;0;0;0;6123;10645;2499;552,85272;;;;;
# 3;0;0;0;10652;15219;2499;547,4052989;;;;;
# 2;32;256;512;1116;6120;2499;499,6003197;;;;;
# 1;0;0;0;1124;6719;2499;446,8275246;;;;;
0;0;0;1179,000000;6871,000000;2499,000000
32;256;512;6874,000000;11084,000000;2499,000000
32;256;512;1193,000000;6416,000000;2499,000000
0;0;0;6418,000000;11170,000000;2499,000000
1;1;1;1201,000000;6999,000000;2499,000000
32;256;512;7001,000000;11238,000000;2499,000000
0;0;0;11241,000000;16109,000000;2499,000000
1;1;1;1227,000000;6996,000000;2499,000000
0;0;0;6998,000000;11751,000000;2499,000000
32;256;512;11753,000000;16060,000000;2499,000000
1;1;1;1249,000000;1;1;1;2766,000000;1;1;1;1619,000000;
