# 1;0;0;0;1124;6719;2499;446,8275246;;;;;
;32;256;512;6721;11017;2499;581,9366853;;;;;
;;;;;;;;;;;;
# 2;32;256;512;1116;6120;2499;499,6003197;;;;;
;0;0;0;6123;10645;2499;552,85272;;;;;
;;;;;;;;;;;;
# 3;1;1;1;1078;6614;2499;451,5895954;;;Traditional;;
;32;256;512;6616;10650;2499;619,7322757;;;Mesh;;
;0;0;0;10652;15219;2499;547,4052989;;;Both;;
;;;;;;;;;;;;
# 4;1;1;1;1084;6604;2499;452,8985507;;;;;
;0;0;0;6606;11050;2499;562,5562556;;;;;
;32;256;512;11052;15230;2499;598,372427;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;Sorted;;;;;;;;;;;
# 3;32;256;512;6616;10650;2499;619,7322757;;;;;
# 4;32;256;512;11052;15230;2499;598,372427;;;;;
# 1;32;256;512;6721;11017;2499;581,9366853;;;;;
# 4;0;0;0;6606;11050;2499;562,5562556;;;;;
# 2;0;0;0;6123;10645;2499;552,85272;;;;;
# 3;0;0;0;10652;15219;2499;547,4052989;;;;;
# 2;32;256;512;1116;6120;2499;499,6003197;;;;;
# 1;0;0;0;1124;6719;2499;446,8275246;;;;;
